tree_id,road_side,aspect,low_bryo,low_lichen,low_species,med_bryo,med_lichen,med_species,hig_byro,hig_lichen,hig_species
180817,NR,South,0,0,0,0,0,0,0,0,0
180817,NR,West,0,0,0,0,6,1,2,0,1
193407,NR,North,0,0,0,0,0,0,0,3,1
193407,NR,East,0,0,0,0,0,0,0,0,0
193407,NR,South,0,0,0,0,0,0,0,0,0
193407,NR,West,0,0,0,0,0,0,0,0,0
3481,NR,North,0,2,1,0,10,3,7,10,3
3481,NR,East,0,0,0,0,20,2,0,9,2
3481,NR,South,0,0,0,0,7,1,0,9,2
3481,NR,West,0,0,0,0,0,0,0,1,1
3480,NR,North,0,0,0,0,0,0,0,5,1
3480,NR,East,0,0,0,0,0,0,0,0,0
3480,NR,South,0,0,0,0,0,0,0,2,1
3480,NR,West,0,0,0,0,1,1,0,6,1
3479,NR,North,0,0,0,0,0,0,0,0,0
3479,NR,East,0,0,0,0,0,0,0,0,0
3479,NR,South,0,0,0,0,0,0,0,3,1
3479,NR,West,0,0,0,0,0,0,0,3,2
3469,NR,North,0,0,0,0,0,0,0,0,0
3469,NR,East,0,0,0,0,0,0,0,0,0
3469,NR,South,0,0,0,0,0,0,0,2,1
3469,NR,West,0,0,0,0,0,0,0,0,0
3465,NR,North,0,0,0,0,0,0,0,0,0
3465,NR,East,0,0,0,0,0,0,0,0,0
3465,NR,South,0,0,0,0,0,0,0,0,0
3465,NR,West,0,0,0,0,0,0,0,0,0
168210,SR,North,0,0,0,4,0,2,0,5,1
168210,SR,East,0,6,1,0,8,2,12,9,3
168210,SR,South,0,7,2,0,0,2,8,12,4
168210,SR,West,0,0,2,0,8,2,0,6,2
193410,SR,North,0,0,1,0,0,0,0,7,3
193410,SR,East,0,0,1,0,10,1,0,16,2
193410,SR,South,2,23,3,0,17,3,0,11,2
193410,SR,West,0,1,1,0,4,2,0,5,1
168207,SR,North,0,0,0,0,0,1,12,9,3
168207,SR,East,0,2,1,0,6,2,6,3,3
168207,SR,South,0,20,3,0,8,2,3,10,3
168207,SR,West,0,0,1,0,15,3,1,22,3
124758,cut down,North,,,,,,,,,
124758,cut down,East,,,,,,,,,
124758,cut down,South,,,,,,,,,
124758,cut down,West,,,,,,,,,
183634,NR,North,18,0,1,0,25,3,0,23,4
183634,NR,East,0,8,2,0,25,2,0,23,3
183634,NR,South,0,0,0,0,14,3,0,6,1
183634,NR,West,3,18,2,0,25,3,0,25,3
183633,cut down,North,,,,,,,,,
183633,cut down,East,,,,,,,,,
183633,cut down,South,,,,,,,,,
183633,cut down,West,,,,,,,,,
183632,NR,North,0,0,0,0,20,3,0,19,2
183632,NR,East,0,4,1,0,10,2,0,14,2
183632,NR,South,0,4,1,0,8,2,0,6,1
183632,NR,West,0,15,2,1,0,3,0,16,2
183631,NR,North,2,0,1,0,0,0,0,25,3
183631,NR,East,0,22,3,0,25,4,0,23,4
183631,NR,South,0,0,1,0,0,2,0,3,1
183631,NR,West,7,2,3,0,14,2,1,12,4
183630,NR,North,1,3,2,0,2,1,0,6,2
183630,NR,East,0,0,1,0,0,0,0,0,2
183630,NR,South,0,0,0,0,3,1,0,3,1
183630,NR,West,0,0,1,0,2,1,0,12,1
183629,cut down,North,,,,,,,,,
183629,cut down,East,,,,,,,,,
183629,cut down,South,,,,,,,,,
183629,cut down,West,,,,,,,,,
183628,NR,North,7,0,1,0,7,1,0,10,2
183628,NR,East,0,0,0,6,2,3,0,7,3
183628,NR,South,0,0,0,0,6,3,0,6,3
183628,NR,West,7,17,3,2,24,4,3,20,5
137885,ivy covered? someone's property?,North,,,,,,,,,
137885,ivy covered? someone's property?,East,,,,,,,,,
137885,ivy covered? someone's property?,South,,,,,,,,,
137885,ivy covered? someone's property?,West,,,,,,,,,
13515,NR,North,1,9,3,0,22,3,0,25,2
13515,NR,East,25,1,2,8,3,2,0,9,2
13515,NR,South,13,9,3,13,4,2,6,13,3
13515,NR,West,0,9,2,1,18,3,0,10,2
113227,SR ,North,4,5,2,2,18,3,0,4,1
113227,SR ,East,12,0,1,1,2,2,0,3,1
113227,SR ,South,0,0,0,0,3,1,0,5,1
113227,SR ,West,0,15,3,1,20,2,1,22,2
13503,SR,North,15,0,1,25,0,1,25,0,1
13503,SR,East,12,0,1,25,0,2,25,0,2
13503,SR,South,0,0,0,0,0,1,0,0,1
13503,SR,West,11,0,1,17,0,3,25,1,2
188582,ER,North,0,13,2,0,4,2,0,9,2
188582,ER,East,0,10,2,0,2,2,0,4,2
188582,ER,South,0,14,2,0,15,3,0,18,3
188582,ER,West,0,14,3,0,12,2,0,3,2
17381,SR,North,0,6,2,0,9,2,0,22,2
17381,SR,East,0,22,1,0,6,1,0,0,0
17381,SR,South,22,0,1,0,2,2,0,16,2
17381,SR,West,0,25,1,0,17,3,0,8,2
176928,WR,North,3,5,2,0,22,1,0,21,2
176928,WR,East,0,5,1,0,9,3,2,7,4
176928,WR,South,2,5,4,1,7,3,3,16,3
176928,WR,West,0,16,2,0,20,2,5,25,3
14793,NR,North,19,1,3,0,2,2,0,6,3
14793,NR,East,1,0,1,23,0,3,25,0,2
14793,NR,South,9,0,1,14,5,3,8,0,2
14793,NR,West,13,3,3,1,22,4,1,13,3
14801,NR,North,2,8,3,3,13,3,7,14,2
14801,NR,East,0,9,2,0,18,2,0,4,2
14801,NR,South,0,1,2,8,12,4,0,25,4
14801,NR,West,0,17,3,0,25,3,0,17,3
13387,SR,North,25,0,2,25,0,2,25,0,2
13387,SR,East,25,0,2,24,0,2,25,0,2
13387,SR,South,25,0,2,1,1,2,2,0,2
13387,SR,West,10,0,1,25,0,2,25,0,2
199386,WR,North,1,0,1,20,3,4,0,25,3
199386,WR,East,0,0,0,0,1,1,0,6,2
199386,WR,South,2,4,3,0,25,3,7,19,4
199386,WR,West,18,0,2,0,25,2,0,24,3
16208,NR,North,24,0,1,0,0,0,2,6,3
16208,NR,East,0,13,1,24,1,3,4,0,1
16208,NR,South,0,0,0,2,3,2,1,0,1
16208,NR,West,0,12,1,0,0,0,0,0,0
9817,NR,North,0,1,1,0,19,2,4,17,3
9817,NR,East,0,2,1,0,18,2,11,6,2
9817,NR,South,0,0,0,0,0,0,0,2,1
9817,NR,West,0,0,0,12,16,2,25,0,2
10851,SR,North,1,0,1,21,1,3,1,5,4
10851,SR,East,0,0,0,0,0,0,0,11,2
10851,SR,South,0,11,1,1,18,2,0,1,1
10851,SR,West,18,0,2,25,0,1,0,5,2
62171,ER,North,18,1,2,23,0,2,21,0,2
62171,ER,East,25,0,2,25,0,2,11,1,3
62171,ER,South,0,1,1,1,0,1,3,3,2
62171,ER,West,0,0,0,4,3,2,11,9,2
114203,ER,North,18,0,1,25,0,1,25,0,2
114203,ER,East,2,1,2,7,0,1,5,3,2
114203,ER,South,5,0,1,7,3,2,10,0,1
114203,ER,West,9,0,1,21,0,3,19,0,2
114195,WR,North,23,1,2,25,1,2,24,2,2
114195,WR,East,1,0,1,2,2,2,10,3,3
114195,WR,South,0,1,1,0,0,0,2,0,1
114195,WR,West,0,2,2,0,5,2,2,0,1
162968,SR,North,0,5,1,1,16,3,0,4,1
162968,SR,East,0,0,0,0,0,0,0,22,2
162968,SR,South,0,15,2,0,25,4,0,23,4
162968,SR,West,0,0,0,0,12,2,3,2,2
26121,SR,North,0,0,0,0,0,0,1,0,1
26121,SR,East,0,0,0,0,0,0,6,0,1
26121,SR,South,0,0,0,0,0,0,0,0,0
26121,SR,West,0,0,0,0,9,1,0,0,0
22920,SR,North,0,0,0,0,0,0,2,0,1
22920,SR,East,0,0,0,0,0,0,1,0,1
22920,SR,South,0,0,0,0,0,0,0,0,0
22920,SR,West,0,0,0,0,0,0,0,0,0
23272,SR,North,0,0,0,1,0,1,0,0,0
23272,SR,East,0,0,0,0,0,0,0,0,0
23272,SR,South,0,0,0,0,0,0,0,0,0
23272,SR,West,0,0,0,0,0,0,0,0,0
24977,SR,North,0,0,0,0,0,0,14,0,2
24977,SR,East,0,0,0,0,0,0,0,2,1
24977,SR,South,0,0,0,0,0,0,0,0,0
24977,SR,West,0,0,0,0,0,0,0,0,0
25310,SR,North,0,0,0,0,0,0,0,0,0
25310,SR,East,0,0,0,0,0,0,5,0,1
25310,SR,South,0,0,0,0,0,0,1,0,1
25310,SR,West,0,0,0,0,0,0,13,0,1
13340,SR,North,0,0,0,0,0,0,15,0,1
13340,SR,East,0,0,0,0,0,0,1,0,1
13340,SR,South,0,0,0,0,0,0,0,1,2
13340,SR,West,0,0,0,0,0,0,0,0,0
15739,SR,North,0,0,0,0,0,0,0,0,0
15739,SR,East,0,0,0,12,0,1,0,0,0
15739,SR,South,0,0,0,0,0,0,0,0,0
15739,SR,West,0,0,0,0,0,0,0,0,0
16706,SR,North,0,0,0,0,0,0,0,0,0
16706,SR,East,0,0,0,0,0,0,3,0,1
16706,SR,South,0,0,0,0,0,0,7,0,1
16706,SR,West,0,0,0,0,0,0,0,0,0
22610,SR,North,0,0,0,0,0,0,0,0,0
22610,SR,East,0,0,0,0,0,0,0,0,0
22610,SR,South,0,0,0,0,0,0,0,3,1
22610,SR,West,0,0,0,0,0,0,0,0,0
2574,removal,North,,,,,,,,,
2574,removal,East,,,,,,,,,
2574,removal,South,,,,,,,,,
2574,removal,West,,,,,,,,,
160594,SR,North,0,0,0,0,4,1,0,0,0
160594,SR,East,0,9,2,0,16,2,0,7,2
160594,SR,South,0,10,1,0,4,2,0,2,1
160594,SR,West,0,3,1,0,2,2,0,4,2
169119,gone,North,,,,,,,,,
169119,gone,East,,,,,,,,,
169119,gone,South,,,,,,,,,
169119,gone,West,,,,,,,,,
169125,gone,North,,,,,,,,,
169125,gone,East,,,,,,,,,
169125,gone,South,,,,,,,,,
169125,gone,West,,,,,,,,,
194872,gone,North,,,,,,,,,
194872,gone,East,,,,,,,,,
194872,gone,South,,,,,,,,,
194872,gone,West,,,,,,,,,
